category,keywords,answer
選課,選課|加退選|課程|學分|必修|選修,"選課通常可以到學校的選課系統完成。建議先確認必修、選修與畢業學分，再依照加退選時間操作。"
宿舍,宿舍|住宿|寢室|床位|舍監,"宿舍相關問題可以洽詢學務處住宿組。常見事項包含床位申請、入住時間、退宿規定與門禁管理。"
社團,社團|活動|迎新|學生會|參加社團,"想參加社團可以留意開學初的社團博覽會，或到學務處課外活動組查詢各社團資訊。"
打工,打工|工讀|兼職|校內工讀|工作,"校內工讀通常會公告在學校網站或學務處頁面。建議優先選擇合法、安全，且不影響課業的工作。"
期中,期中|期中考|考試|段考|小考,"期中考時間通常由授課老師或學校行事曆公告。建議提前整理筆記、確認考試範圍與繳交期限。"
期末,期末|期末考|報告|專題|總成績,"期末通常會有考試、報告或專題。請留意老師公告的繳交時間，避免壓線上傳失敗。"
圖書館,圖書館|借書|還書|自習|館藏,"圖書館可以借書、自習、查資料，也常有電子資源可以使用。借書期限與逾期規定請以圖書館公告為準。"
校園網路,網路|wifi|Wi-Fi|無線網路|帳號,"校園 Wi-Fi 通常需要使用學校帳號登入。如果無法連線，可以先確認帳號密碼，或洽詢資訊中心。"
學生證,學生證|補發|遺失|卡片|門禁卡,"學生證遺失時，請盡快到教務處或相關單位申請補發。有些學生證也會綁定門禁、借書或悠遊卡功能。"
請假,請假|病假|事假|公假|缺席,"請假通常需要到學生系統申請，並依照規定上傳證明文件。請假期限與核准方式請以學校規定為準。"
停車,停車|機車|汽車|停車證|腳踏車,"校內停車通常需要申請停車證。機車、汽車與腳踏車的停放區不同，請依照校園規定停放。"
餐廳,餐廳|吃飯|午餐|晚餐|美食|便當,"校內餐廳通常提供便當、麵食、飲料與簡餐。尖峰時間人會比較多，可以提早用餐或避開中午時段。"
獎學金,獎學金|補助|助學金|清寒|申請補助,"獎學金與補助通常由學務處公告。申請時要注意資格條件、繳交文件與截止日期。"
成績,成績|分數|排名|學期成績|成績單,"成績可以到學生系統查詢。如果對分數有疑問，建議先詢問授課老師，再依照學校流程申請複查。"
畢業,畢業|畢業門檻|畢業學分|離校|學位,"畢業前要確認學分、必修、選修、服務學習或其他畢業門檻是否完成。離校流程請依教務處公告辦理。"
